growthR,avgCC,avgwaterT,Dens,PP,fooda,,growth rate,make up the units
78.96664084,52.20793448,15.95227993,30.54716771,14.34333987,12.88062395,,CC,cloud cover %
42.92207148,55.8282004,13.21422081,60.96624486,7.368587854,12.542523,,water temp,Celsius
61.67159792,80.07233713,10.12077811,89.38870917,26.43278965,23.02121317,,Dens,ind per 1000m3
55.92250708,61.8419979,14.28791263,62.74960356,20.74985324,15.63093239,,PP,primary productivity in clorophyl a ug
103.406244,0.913602812,8.219817463,25.96890454,30.75342564,21.34143827,,fooda,"Food availability, using a species-specific index"
80.10895556,70.93164942,16.85624567,25.8831763,3.531922731,6.964041508,,,
55.60871217,71.01929439,19.01584711,49.06468234,2.478628085,10.81299085,,,
61.45828257,70.31974599,16.52530777,50.87221687,27.32070329,21.5359476,,,
29.01250339,56.50433842,9.703637608,96.36154431,14.13597448,16.91168679,,,
53.08489971,57.22455443,8.3067229,44.67906042,8.670915145,10.40736308,,,
64.32907501,29.51891429,11.38267217,62.1279619,29.80957686,23.23101468,,,
103.182398,29.8600154,14.9338824,20.76977685,33.72031686,22.98475011,,,
75.66154299,62.88852429,10.20106831,28.4224476,24.90409618,17.48494333,,,
74.05932977,14.71554285,9.227895376,61.30133528,22.90024692,16.85176692,,,
31.5691906,51.22973209,9.652283634,107.556105,28.57080019,21.11470947,,,
80.91594184,44.4289387,13.21450634,21.47699595,17.816296,14.80284848,,,
83.12440927,50.69346062,14.94340059,79.21740362,27.73666058,23.65655289,,,
39.68928658,90.46129882,17.40723065,99.45374756,3.117472203,9.130085755,,,
79.15754912,1.518046297,11.28329259,31.16251033,14.68660312,13.31288192,,,
79.91046912,90.55674688,11.18084379,22.21265398,12.64669009,12.89301229,,,
26.22872879,48.10454773,19.10134265,110.5627595,9.773173332,10.26206578,,,
85.28513808,93.34571913,12.84695095,49.00907656,30.59220449,21.28994099,,,
60.33535891,75.59547855,14.37584326,66.22302689,12.58087894,12.29767611,,,
96.17904355,63.34284993,15.28710503,24.22198896,13.13752529,16.51538735,,,
65.95869489,89.27361211,17.08228716,51.68249484,24.41141147,17.65897197,,,
50.3844507,14.68092194,14.51781908,95.13420628,27.12519885,20.12081314,,,
62.67438211,97.18548933,20.39572467,57.98547431,6.983881844,12.14550226,,,
51.98368027,28.29967656,14.18113682,89.4125036,8.757031579,12.82873605,,,
65.89387945,14.56100717,16.98853968,64.33753164,19.54005828,15.69291656,,,
35.10531621,73.62184012,12.91775695,101.9017104,18.90479598,18.76017094,,,
56.94129451,83.58320161,16.73486722,91.41178767,22.39244687,16.25958506,,,
69.61087202,80.11169466,13.61151758,90.41740029,27.55107146,21.38934972,,,
45.12653854,97.49850514,14.78625309,68.95155679,13.6922215,14.66180726,,,
71.9832631,7.790832408,6.471266651,46.44319059,9.842791268,12.4881148,,,
67.52645724,41.32856447,17.43986542,81.3962017,21.12258498,19.74089637,,,
41.68200952,67.76325044,15.87287545,48.42955359,3.127004111,11.12971825,,,
64.65837823,86.51818845,17.13634763,26.52721964,4.573893114,9.760688078,,,
86.87618536,36.43417482,15.5831819,55.06454402,32.86679962,26.34510906,,,
96.23712063,14.57037155,16.25037578,60.93536604,35.14303589,24.91174881,,,
30.36735915,8.317674417,14.910903,97.05438053,7.757250503,10.82902475,,,
25.80115922,40.74607173,18.89930214,105.5342507,19.11437526,18.79128159,,,
20.10484399,40.69201578,10.04804607,81.75789272,5.67538066,11.31287231,,,
16.14996987,66.74106603,8.395640253,98.28615592,9.25140363,11.23907052,,,
60.61944026,0.029770774,9.136028237,92.73907689,33.83723871,25.58846836,,,
29.97335192,14.55632446,11.97198958,72.41415815,5.795277742,8.539478013,,,
29.92204153,64.35878158,11.98584655,98.82334366,23.16204954,20.03090948,,,
49.40350144,28.16731057,18.73189108,58.54937332,10.11420099,14.63456641,,,
65.34388527,52.55987542,9.867207767,64.94598885,22.08727454,20.66895324,,,
69.3468374,15.17541404,11.71472494,43.54140247,14.60701271,14.40486912,,,
53.61544199,98.72464528,13.39329133,66.57859744,16.67336519,15.46148751,,,
70.65908847,65.46391093,8.721173692,77.56868389,18.1615451,17.99278666,,,
82.99563406,36.11732374,17.31556869,22.70277583,4.561855092,8.48165424,,,
111.6207565,3.096941928,10.93834264,34.61394883,32.54934123,22.73917,,,
52.08818866,73.07455705,11.83835449,80.0069473,30.76804544,23.13222881,,,
37.37812352,91.70644921,18.94826331,114.9993944,25.64581483,20.18999687,,,
68.12942295,96.44909978,17.89272164,64.62847319,9.072656799,11.87542114,,,
66.1384777,11.33733829,16.77930462,81.65068981,29.02847446,20.32827932,,,
31.92936666,47.54305107,13.59279088,115.6723032,28.8177775,20.78645531,,,
60.56575675,74.52193419,9.886053965,51.13492168,8.036962756,11.49791262,,,
89.95447366,2.75522829,16.31467879,28.27137702,35.46296061,23.4610364,,,
74.13414799,15.84350565,13.48031402,36.98688907,23.04635077,18.26424586,,,
21.00563924,12.28909637,14.78468877,109.8268771,16.59928402,14.42792249,,,
41.57316335,13.3605967,8.231942462,77.47924964,28.83935583,21.00633368,,,
69.47991765,85.18221667,15.2234034,35.49698594,19.24283935,18.01764621,,,
30.62401433,59.00025244,10.59747527,113.9289435,14.95077129,17.35610545,,,
69.89139252,15.37694808,14.77476032,65.93259955,17.95253781,16.66718833,,,
39.40945136,89.46180679,19.9386269,107.1068791,11.96561845,11.94810572,,,
51.09188316,76.02527437,17.86412665,77.16573959,27.22485617,19.96769024,,,
55.41801076,25.85263911,13.66223152,87.35734052,23.8807464,20.10070938,,,
41.07580984,7.344843517,12.82280695,118.1489497,25.45866721,21.8766677,,,
45.42048418,63.94601485,19.37830149,90.82770541,8.678434692,10.61686219,,,
31.23603546,95.97427431,19.96681892,100.9338131,19.57145503,16.45336075,,,
34.02783742,54.11083582,11.92341162,73.31692451,3.646064637,10.70213426,,,
72.88631047,36.45469728,14.37940942,57.35176492,4.545877384,11.00690684,,,
57.55029096,56.50837619,18.98601962,56.7135304,3.414208375,11.20194049,,,
14.12677795,15.47116896,11.0682411,93.50970414,10.09769422,11.89582281,,,
72.797511,50.43892744,19.33413445,75.04324569,27.27705782,21.48125294,,,
10.00527477,48.82882223,10.09983976,96.2999746,4.776701197,11.80397391,,,
39.75683797,84.30205414,10.15593049,105.335623,13.11308098,13.50804482,,,
68.07167794,46.19371106,12.38589261,29.17897837,22.69209201,17.05372897,,,
100.1890329,35.27539878,7.530853909,54.8749554,33.3700021,23.67667354,,,
45.5151685,48.84980228,16.61050501,69.63523531,14.18067582,13.10665493,,,
27.28966438,10.61141177,7.000237717,103.8258958,21.29817186,16.33372876,,,
82.57461023,75.91450375,11.84648943,50.79864469,8.016506126,13.92642877,,,
99.01146082,46.85972619,17.78982733,46.98467402,32.7518984,24.25448214,,,
